id,city,state,country,continent,conference,year,footprint
10103,Stockholm,,Sweden,EU,PLDI,18,1897.2278
10103,Kista,,Sweden,EU,SPLASH,15,1953.1809
10104,Lund,,Sweden,EU,SPLASH,16,366.515
10105,Albuquerque,NM,USA,NA,PLDI,18,930.951
10106,Tokyo,,Japan,AS,ICFP,16,206.8096
10107,Istanbul,,Turkey,AS,SPLASH,9,3094.3308
10108,Tokyo,,Japan,AS,ICFP,16,206.8096
10108,Tokyo,,Japan,AS,ICFP,17,2817.6638
10109,Kaiserslautern,,Germany,EU,ICFP,16,2751.1851
10109,Kaiserslautern,,Germany,EU,POPL,16,2274.3067
10110,Ghent,,Belgium,EU,PLDI,18,1756.5844
10111,Paris,,France,EU,POPL,17,0.0
10112,Mumbai,,India,AS,POPL,15,0.0
10113,Twente,,Netherlands,EU,SPLASH,9,2526.6936
10113,Enschede,,Netherlands,EU,SPLASH,12,2605.9167
10114,Istanbul,,Turkey,AS,POPL,11,3053.4542
10114,Istanbul,,Turkey,AS,POPL,12,2412.0052
10114,Istanbul,,Turkey,AS,POPL,13,453.8371
10115,Tokyo,,Japan,AS,ICFP,11,0.0
10116,Montpellier,,France,EU,SPLASH,15,1949.8461
10117,Edinburgh,,United Kingdom,EU,POPL,9,1875.6909
10118,London,,United Kingdom,EU,SPLASH,9,2451.305
10119,Magdeburg,,Germany,EU,SPLASH,16,256.8543
10120,Tucson,AZ,USA,NA,SPLASH,10,375.0653
10121,Braunschweig,,Germany,EU,SPLASH,13,2067.7177
10122,Bellevue,WA,USA,NA,SPLASH,17,108.4164
10123,Copenhagen,,Denmark,EU,POPL,17,339.6245
10123,Copenhagen S,,Denmark,EU,SPLASH,16,347.4793
10124,Berlin,,Germany,EU,ICFP,12,197.8963
10125,West Melbourne,FL,USA,NA,POPL,16,112.6696
10126,Patna,,India,AS,POPL,15,479.6461
10127,Lubbock,TX,USA,NA,POPL,18,500.6239
10128,Chennai,,India,AS,POPL,15,340.4943
10129,Madison,WI,USA,NA,PLDI,15,874.8159
10129,Madison,WI,USA,NA,PLDI,16,919.3364
10129,Toronto,ON,Canada,NA,POPL,12,304.1671
10129,Toronto,ON,Canada,NA,POPL,14,1151.3838
10129,Madison,WI,USA,NA,POPL,16,595.0287
10129,Madison,WI,USA,NA,POPL,17,1964.6618
10129,Madison,WI,USA,NA,POPL,18,887.6678
10130,Tampa,FL,USA,NA,PLDI,16,1188.5601
10130,Tampa,FL,USA,NA,POPL,16,16.3077
10130,West Lafayette,IN,USA,NA,POPL,17,1974.7627
10131,Pittsburgh,PA,USA,NA,POPL,16,470.9896
10132,Riyadh,,Saudi Arabia,AS,SPLASH,13,3335.3156
10133,Evanston,IL,USA,NA,ICFP,18,242.3165
10134,Madrid,,Spain,EU,PLDI,9,478.2141
10135,Marseille,,France,EU,POPL,14,2866.7031
10136,Tampa,FL,USA,NA,POPL,16,16.3077
10137,Bethany,CT,USA,NA,SPLASH,17,1158.7597
10138,New York,NY,USA,NA,ICFP,14,1785.6117
10139,Northolt,,United Kingdom,EU,SPLASH,9,2446.1219
10140,Sandy,UT,USA,NA,ICFP,13,1116.6235
10141,Pittsburgh,PA,USA,NA,ICFP,18,296.8608
10141,Pittsburgh,PA,USA,NA,PLDI,14,1655.8073
10141,Pittsburgh,PA,USA,NA,PLDI,17,1948.4866
10141,Pittsburgh,PA,USA,NA,POPL,9,307.8466
10141,Pittsburgh,PA,USA,NA,POPL,12,231.242
10141,Pittsburgh,PA,USA,NA,SPLASH,9,1113.516
10141,Pittsburgh,PA,USA,NA,SPLASH,10,1111.7895
10141,Pittsburgh,PA,USA,NA,SPLASH,12,959.1169
10141,Pittsburgh,PA,USA,NA,SPLASH,13,295.6743
